age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_encoded,marital_encoded,education_encoded,default_encoded,housing_encoded,loan_encoded,contact_encoded,month_encoded,day_of_week_encoded,poutcome_encoded,y
,94.0,,,0.0,,,-42.7,,,,0.0,0.0,0.0,,0.0,,,0.0,,no
,116.0,4.0,999.0,,-1.8,,,,,,0.0,1.0,,,,,,,,no
,13.0,,,1.0,-1.8,,-46.2,,5099.1,0.0,,,1.0,,,0.0,0.0,0.0,,no
,,,,,1.4,93918.0,,,,1.0,1.0,0.0,1.0,0.0,,,1.0,,,no
39.0,344.0,2.0,,,1.1,,-36.4,,,2.0,,2.0,,,,,,,0.0,no
,,2.0,999.0,,-1.8,,-47.1,1405.0,,3.0,,,,,0.0,0.0,,,,no
,,3.0,,,-1.8,92893.0,,,,,,3.0,,,,0.0,,0.0,,no
36.0,201.0,2.0,999.0,,,,,,,,2.0,,,,0.0,,,1.0,0.0,no
,,2.0,,,1.1,,,,,,,,,,0.0,1.0,0.0,,,no
28.0,,,,,,,,,,,,,,0.0,,,1.0,2.0,0.0,no
,,1.0,,1.0,-0.1,,-42.0,,,1.0,,,,,,,,,,no
,,,,,,93.2,,4076.0,5195.8,,,,,,,,,,,no
,,,999.0,,,,,,,,,,1.0,0.0,,,2.0,,0.0,no
,,,999.0,,,,,,5191.0,2.0,,1.0,,,,,,3.0,,no
,292.0,,,,1.4,,-42.7,,,,,,1.0,,,0.0,,,,no
,91.0,,999.0,,,,-40.8,,5076.2,,0.0,,,0.0,,0.0,,,0.0,no
36.0,,,,2.0,,,,0.654,5008.7,,,,1.0,1.0,,,3.0,4.0,,yes
,143.0,,999.0,,,,,4.12,5195.8,3.0,,1.0,,1.0,0.0,0.0,4.0,2.0,1.0,no
,,,,0.0,1.4,,,,5228.1,,,1.0,,,0.0,,,,0.0,no
,,1.0,,,-1.8,93075.0,,,,,0.0,,,0.0,,,,,0.0,no
,,2.0,,,,,,,,4.0,,,,,,,,,,no
,,,999.0,,-1.8,,,,,,,,,,,,,2.0,,no
,,,,0.0,,,,,,,,,,0.0,,,2.0,,,no
,398.0,2.0,,,1.4,,-41.8,,,5.0,,4.0,0.0,,,,,3.0,,no
28.0,,,999.0,,-1.8,93075.0,,,,6.0,,,0.0,,,,,,,no
,,,,,,,,,,2.0,,4.0,,,0.0,0.0,0.0,,,no
,551.0,1.0,999.0,,-1.8,92893.0,-46.2,,,,,1.0,,,0.0,,0.0,,1.0,no
,597.0,,,0.0,,,-36.4,,,,2.0,,,0.0,0.0,1.0,,,,no
,81.0,,,,,92893.0,,1313.0,,,,,,,,,,,0.0,no
34.0,19.0,,,,,92893.0,,1281.0,,,,,1.0,,0.0,0.0,,,,no
54.0,,,999.0,,-0.1,,,4153.0,5195.8,,,,,,0.0,,,,0.0,no
,104.0,1.0,,0.0,-1.8,,-46.2,,5099.1,,,,,,0.0,,,4.0,,no
,,,,,-0.1,,,,5195.8,,0.0,,1.0,,0.0,,,3.0,1.0,no
82.0,139.0,,999.0,,,,,,,,,5.0,,2.0,,,,,0.0,yes
,,3.0,999.0,0.0,,93918.0,-42.7,,5228.1,,0.0,,1.0,,,,,,0.0,yes
24.0,,,,,,,,,,,,,1.0,,,,,,,no
,,,,,,93075.0,-47.1,,,,2.0,,,1.0,,,,,,no
45.0,567.0,,,,,93.2,,,,,1.0,,1.0,,,,4.0,,0.0,no
,,,,1.0,,,,,,4.0,,,,0.0,,,,,1.0,no
,,,999.0,,,,,4855.0,,,,,,,,,,4.0,,no
,,,999.0,,,,-41.8,,5228.1,2.0,,1.0,,,,,,,0.0,no
25.0,,4.0,,0.0,,,,4859.0,5191.0,,2.0,,,,,1.0,0.0,,,no
,,,999.0,1.0,-3.4,92649.0,,,,,,,1.0,0.0,,0.0,,,,yes
,,1.0,999.0,,,,,,,,0.0,1.0,,,,0.0,1.0,,,no
,296.0,,,,,93.2,,,5195.8,,2.0,,,,,,,,2.0,no
25.0,,,999.0,0.0,,92649.0,-30.1,0.714,,,,,,0.0,,,,,,no
,113.0,,,0.0,,93444.0,,,5228.1,,,,,1.0,,,5.0,,,no
,,,,,,,-36.4,,,,,2.0,,,,1.0,,4.0,,no
,,8.0,,,1.4,,,4865.0,,4.0,0.0,,1.0,,0.0,,,0.0,,no
89.0,,,,,-1.1,,,0.881,,,1.0,,,,,,,,,yes
,,,,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,,,3.0,1.0,no
,,,,,,,,4153.0,,2.0,,,,1.0,,,,,,no
,,,999.0,,,,-42.0,,,,,,,,,,,,0.0,no
,93.0,,,,1.4,,-36.1,4964.0,5228.1,1.0,,6.0,,0.0,,0.0,,,,no
,,2.0,999.0,,,,,,,,,,1.0,,,1.0,,,,no
,210.0,1.0,6.0,,-3.4,,,,5017.5,6.0,,,,,,,6.0,,2.0,yes
,,,,,-1.8,,,,,,2.0,2.0,,0.0,,0.0,0.0,,,no
,60.0,,999.0,,,,,4191.0,,7.0,,,,,,,4.0,0.0,,no
57.0,,3.0,,,,,,,5228.1,4.0,,,,0.0,,,,2.0,,no
58.0,,,,,,,,,5099.1,,,,1.0,,0.0,,,,,yes
,,,999.0,0.0,1.4,93444.0,-36.1,4963.0,,,,,1.0,0.0,,0.0,,,,no
,,,,,,93994.0,,,5191.0,,0.0,,,,0.0,,,4.0,0.0,no
,227.0,,,,,,,,,,,2.0,,,,0.0,0.0,,,no
,,1.0,,,,,,4961.0,,,,,,1.0,,,,0.0,,no
,,2.0,,,1.4,,,4961.0,,,0.0,0.0,,0.0,0.0,1.0,,0.0,,no
,72.0,,999.0,,,94465.0,-41.8,,,5.0,,,0.0,1.0,,,2.0,,0.0,no
,,1.0,,,,,-46.2,,,,0.0,0.0,1.0,1.0,0.0,,,,0.0,no
85.0,,,,,,93749.0,-34.6,,,,,5.0,,0.0,0.0,0.0,7.0,,,yes
,,2.0,999.0,,,92201.0,-31.4,0.881,,,2.0,,,0.0,0.0,,5.0,3.0,,no
,158.0,,999.0,1.0,-0.1,,-42.0,,,,,,,,,0.0,,3.0,1.0,no
,,1.0,,0.0,,,,4962.0,,,0.0,,,,,,1.0,,,no
,89.0,,,,-0.1,,-42.0,,5195.8,,,2.0,,,0.0,0.0,,3.0,,no
30.0,,,999.0,,-0.1,,,4021.0,,,2.0,,,,,,,3.0,,no
39.0,1007.0,,999.0,,,,,,,,,1.0,,,0.0,,0.0,,,no
50.0,,2.0,999.0,,,93994.0,,,,,,,,,,,0.0,4.0,,no
,,,,0.0,1.1,,,,,,,,1.0,1.0,,,0.0,3.0,0.0,no
,,3.0,,,,,-40.3,0.827,,8.0,,6.0,1.0,,2.0,,1.0,,,yes
56.0,129.0,3.0,999.0,,,94465.0,,,,,0.0,1.0,,,,,,,0.0,no
,193.0,6.0,,,,93994.0,,,,2.0,2.0,,,,,1.0,0.0,,0.0,no
,613.0,,,,,,,4153.0,,8.0,0.0,,1.0,0.0,,,4.0,1.0,,no
,986.0,,,3.0,,,,,,,,,,,,1.0,4.0,,,no
,434.0,,,,-1.8,92893.0,,,,,,,,,,,,4.0,,no
,,,999.0,,,93918.0,-42.7,4962.0,,,0.0,6.0,,,,1.0,1.0,,,no
50.0,,,,0.0,-0.1,,,4245.0,,,,,,,2.0,1.0,4.0,,,no
,,,,,-1.8,,,1281.0,,,,,,,0.0,,0.0,,,no
,349.0,1.0,999.0,,,,,,5191.0,,2.0,1.0,,,,1.0,0.0,1.0,0.0,no
,,,999.0,,,93918.0,,4.96,,5.0,,,1.0,,1.0,,,,0.0,no
40.0,,,,,-0.1,,,,5195.8,,,,,,,,,,0.0,no
,491.0,,,,,,,,,,,2.0,,,,1.0,,1.0,,no
,,4.0,999.0,,,,,,,,0.0,,,,0.0,1.0,,4.0,,no
,123.0,,999.0,,,,-42.0,,5195.8,2.0,,,,0.0,0.0,,,,,no
36.0,,,,,,92893.0,,,,,,,,,,,,,,no
,104.0,,,,-0.1,,,4191.0,,2.0,1.0,,,1.0,0.0,,4.0,,,no
,,,,,,,,,,1.0,,5.0,0.0,1.0,,,,0.0,,no
,,,999.0,0.0,1.4,93444.0,,4964.0,,,0.0,,,0.0,,0.0,5.0,,0.0,no
,14.0,20.0,999.0,,,,-42.7,4968.0,,,0.0,5.0,,0.0,1.0,,,,,no
,,6.0,999.0,,1.4,93918.0,,4963.0,,2.0,,1.0,,1.0,,,,,0.0,no
,,,,0.0,1.1,,,,5191.0,,0.0,0.0,,,,,,,0.0,no
,,3.0,,,1.4,94465.0,,,,,,,0.0,,0.0,,2.0,1.0,0.0,no
32.0,,3.0,999.0,,,93918.0,-42.7,,,,0.0,,,,0.0,0.0,1.0,,,no
44.0,254.0,,,,,93994.0,-36.4,4856.0,,,0.0,,,,,,,,,no
,,1.0,,0.0,,93994.0,,,5191.0,2.0,2.0,1.0,,,,1.0,0.0,,,no
,,,,,-1.8,,-47.1,,,,0.0,,,,,,,4.0,,no
,169.0,,,,,,-46.2,,5099.1,,,1.0,,,,,0.0,,0.0,no
,14.0,8.0,,,,92893.0,,,5099.1,,2.0,,1.0,1.0,0.0,0.0,,,,no
39.0,,,,,1.4,,,4.96,,,,0.0,,,,,1.0,,0.0,no
29.0,,,,,,,,,5099.1,,0.0,4.0,1.0,,,0.0,,,,no
36.0,,,,,-1.8,,,1281.0,,,,,,,0.0,,,,1.0,yes
,227.0,,999.0,,,,,,5099.1,4.0,,,,,,0.0,0.0,3.0,1.0,no
,587.0,,,,,,,4.86,,3.0,,1.0,,,,,,,,no
,554.0,2.0,999.0,,,,,4.96,,,,,1.0,,,,,,,no
49.0,418.0,,,,1.1,,-36.4,,,,0.0,,,0.0,,,,,,no
51.0,,,999.0,1.0,,92893.0,-46.2,,5099.1,,,2.0,,,0.0,,,,1.0,yes
,64.0,1.0,,,,93444.0,,4963.0,,,,,,,,,,,,no
33.0,114.0,5.0,,0.0,,,-46.2,,,,,,1.0,1.0,,1.0,0.0,,0.0,no
36.0,237.0,7.0,999.0,,1.4,93918.0,,,5228.1,8.0,,3.0,1.0,,,,1.0,,,no
60.0,,,,,1.4,93444.0,,4966.0,,,0.0,,1.0,1.0,0.0,,,,0.0,no
31.0,,,999.0,0.0,,93918.0,-42.7,,5228.1,2.0,0.0,,0.0,,0.0,,1.0,,0.0,no
,244.0,,,,,,-42.0,,,8.0,,,,,,0.0,4.0,,,no
47.0,,,999.0,0.0,,,,4957.0,,,0.0,0.0,,,0.0,0.0,,3.0,,no
,,,,,,92963.0,,,,,2.0,1.0,,,2.0,,,0.0,,no
,,,999.0,0.0,1.4,,-42.7,,5228.1,,,,,0.0,0.0,,,4.0,,no
31.0,379.0,,999.0,0.0,-1.8,,,,,,,2.0,,,,,,0.0,,no
34.0,,,999.0,0.0,,,,,,,,2.0,1.0,1.0,0.0,,,3.0,,yes
30.0,,,,,1.1,93994.0,,,,,,,,0.0,,1.0,0.0,3.0,,no
38.0,118.0,,,,,,-39.8,,4991.6,,,,1.0,,,,2.0,,0.0,no
31.0,250.0,1.0,,,,93.2,,,,,,3.0,1.0,,,,,,,no
,136.0,3.0,,,1.1,,,,,,,0.0,,,,,0.0,3.0,,no
,165.0,,,0.0,,,,,5228.1,,0.0,,,,,0.0,,,0.0,no
,,,,,,,,1405.0,5099.1,4.0,,,,,,,,,,no
,,1.0,999.0,,-0.1,93.2,-42.0,,,,1.0,,,,,,,,,yes
51.0,,,,,,,-36.4,,,,,,,,0.0,,,0.0,0.0,no
30.0,,3.0,,,,,,4963.0,,,,,,,1.0,,,2.0,,no
27.0,93.0,,,,,,-31.4,,,,,,,,,,,,2.0,no
,,,999.0,,1.4,93918.0,,4963.0,,,,,,,1.0,,,,,no
,,,,,,,,,5099.1,,,,,,,1.0,,,,no
,,,,,,93.2,,,,,,,,1.0,,,,,,yes
,,5.0,,0.0,,,,,,,,,1.0,,,0.0,,,0.0,no
,,,,,,,-41.8,,5228.1,,,2.0,,,0.0,,2.0,,,no
,,,,,1.1,,,,,,0.0,,,,,,,0.0,,no
,,,,0.0,,93994.0,,,,,,,,,,,,2.0,,no
48.0,,,999.0,,1.1,,,,,8.0,,2.0,,,0.0,,,,0.0,no
,,5.0,,,1.4,,,4963.0,,4.0,,,1.0,,,,1.0,,,no
43.0,,1.0,,,1.4,,,,5228.1,4.0,,,1.0,,,,,4.0,0.0,no
28.0,,,,0.0,,,,,,,2.0,,1.0,,0.0,,,,,no
32.0,131.0,,,,,93444.0,,,5228.1,8.0,,,1.0,,1.0,,,,,no
43.0,,,,,,,-42.0,,,,,1.0,,,,,4.0,,0.0,no
,,,,0.0,1.1,,,,5191.0,,,,,,,1.0,,,,no
31.0,,3.0,999.0,,-1.8,,,,5099.1,,0.0,0.0,,,0.0,,0.0,,,no
,,,,1.0,,,,,,8.0,,1.0,,,,,,2.0,,no
,85.0,2.0,999.0,,,,,,,5.0,,,1.0,1.0,,1.0,,2.0,,no
,67.0,1.0,,,1.4,94465.0,-41.8,,,,,,,,0.0,1.0,,2.0,,no
46.0,,,999.0,0.0,-3.0,,-33.0,,5023.5,2.0,,,1.0,,,0.0,,,,yes
,,,,,-1.8,92843.0,,,,,0.0,,1.0,,,,,,0.0,no
,,1.0,999.0,,,,,,,8.0,,0.0,1.0,,0.0,0.0,,,,no
,80.0,,,,1.4,,,4864.0,,,,,,,,,2.0,1.0,,no
,724.0,1.0,,0.0,,,,,5228.1,5.0,,,,,,0.0,1.0,,,yes
30.0,40.0,,,,1.4,,-42.7,4961.0,,,2.0,,0.0,,,0.0,,1.0,,no
38.0,,3.0,999.0,0.0,,93444.0,-36.1,4963.0,,,,3.0,,,,,5.0,4.0,0.0,no
,100.0,,,,,,-41.8,,,,1.0,2.0,,0.0,,1.0,2.0,,0.0,no
50.0,,,,,,93918.0,-42.7,,,,,,,,,0.0,,,,yes
,,,999.0,0.0,,,,4963.0,,,,3.0,,0.0,1.0,,,,,no
,,,,,,,,,,,2.0,3.0,,,1.0,,,2.0,,no
,72.0,3.0,,,,,,,5191.0,,0.0,,,,0.0,,0.0,,,no
,,2.0,,,,,,,,9.0,,,0.0,,0.0,,,,0.0,no
,587.0,,,,1.4,,-41.8,,5228.1,,,,,,,,,,0.0,yes
,,,999.0,0.0,,,,4.96,,,2.0,,,,,,2.0,,0.0,no
,,,,,,93994.0,-36.4,,,,,2.0,,,,1.0,0.0,,,no
50.0,,,999.0,0.0,,93.2,,,5195.8,,0.0,,,,,,,,0.0,no
52.0,,,,,,,,0.644,,8.0,0.0,0.0,1.0,,,0.0,,,0.0,yes
,,,,,,,-36.4,,5191.0,,0.0,,0.0,,,,,4.0,,no
,,1.0,,0.0,1.4,,,,5228.1,,,,,,,,,,,no
37.0,,,,,1.4,93918.0,,,,,,,1.0,1.0,,,1.0,,,no
,,4.0,999.0,0.0,,93918.0,-42.7,,5228.1,,,,,,,1.0,,,,no
,,,,,,,,,5191.0,,2.0,1.0,,,0.0,1.0,,,0.0,no
30.0,,2.0,999.0,,,,,,,5.0,,,,0.0,,0.0,,3.0,0.0,yes
,,1.0,,1.0,,,,,,2.0,,1.0,,,,,,,,no
53.0,52.0,3.0,,,,93918.0,,4961.0,5228.1,2.0,,2.0,,,,,1.0,1.0,,no
,,,,0.0,,93994.0,,,5191.0,8.0,,,,,,,,,,no
,,4.0,,0.0,,,,,5228.1,,0.0,,0.0,,0.0,,5.0,,0.0,no
,,,,,-1.8,,,,,,,1.0,1.0,,,0.0,,,,no
,172.0,1.0,,0.0,-1.8,,,1281.0,,,0.0,,,,0.0,,,,,no
,40.0,2.0,999.0,,-0.1,93.2,,,,4.0,0.0,,,1.0,0.0,,,0.0,,no
,,,,,,92379.0,,0.803,,5.0,,0.0,,,0.0,,,,,yes
,,1.0,999.0,0.0,,,,,5191.0,2.0,,2.0,,,1.0,,0.0,,,no
37.0,,3.0,999.0,,,93075.0,,,5099.1,,,,1.0,,,,,0.0,,no
,135.0,,,,1.4,,,,,3.0,,,0.0,,0.0,,,,,no
41.0,,,,,,,,,,3.0,1.0,,,,,,,,,yes
,,2.0,999.0,0.0,,,-47.1,,,,,,,,0.0,,7.0,,0.0,no
,,,,,,,,,,,,,,,0.0,,,,,no
56.0,,,,0.0,,92893.0,,,5099.1,0.0,,,,,,,,,,no
,,4.0,,,,,-42.7,4957.0,,5.0,,,,,0.0,,1.0,,0.0,yes
26.0,,,,,,,,,,,1.0,2.0,,0.0,,,,0.0,0.0,no
,327.0,,,0.0,,,-36.1,,,,,1.0,,1.0,,0.0,5.0,,,no
,,,999.0,,,,,,5191.0,,,,,1.0,,,0.0,,,no
,326.0,,,,,92893.0,-46.2,,5099.1,2.0,,,,,,0.0,,0.0,,no
,,,,,,92893.0,,1266.0,,5.0,,,,,,0.0,0.0,,,no
,413.0,,,,,,,,,,2.0,,,,0.0,0.0,1.0,,,no
,,2.0,999.0,,,92893.0,,,5099.1,,,,,,0.0,,0.0,,,no
,,,,0.0,-0.1,,-40.4,,,,1.0,1.0,,1.0,,,,,,yes
,824.0,,,,1.1,,-36.4,4859.0,,,,,0.0,,,,,,0.0,no
,,,999.0,0.0,,94465.0,-41.8,,,,,,,,0.0,,,0.0,,no
,,,,,,,,,5099.1,,,,,,,,,,,no
,243.0,,,0.0,,,,4859.0,5191.0,,2.0,,,,1.0,,,,0.0,no
,342.0,,,0.0,,,-47.1,,,,,,1.0,,,0.0,,,,no
