age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_encoded,marital_encoded,education_encoded,default_encoded,housing_encoded,loan_encoded,contact_encoded,month_encoded,day_of_week_encoded,poutcome_encoded
,,,999.0,0.0,1.4,,-42.7,,5228.1,0.0,,0.0,,0.0,,0.0,0.0,,0.0
,,,,,,,-46.2,,,1.0,,1.0,,1.0,,1.0,1.0,,0.0
59.0,13.0,6.0,,1.0,,92893.0,-46.2,1354.0,5099.1,,,2.0,,1.0,,1.0,,0.0,
,,5.0,999.0,,1.4,,-42.7,,5228.1,,,,,0.0,,1.0,,,
,,,,0.0,1.1,,-36.4,4.86,5191.0,,,3.0,0.0,1.0,0.0,0.0,,1.0,0.0
,727.0,2.0,,0.0,,93075.0,-47.1,1405.0,5099.1,2.0,,,,1.0,0.0,,,,0.0
,,,,0.0,,92893.0,,,,1.0,,,1.0,0.0,0.0,,1.0,,
,,2.0,,0.0,1.1,,-36.4,4857.0,5191.0,,0.0,,0.0,,,,,2.0,
,,2.0,999.0,0.0,1.1,,-36.4,4857.0,5191.0,,1.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0
,,7.0,,,1.4,93918.0,-42.7,,,3.0,0.0,,1.0,,,1.0,0.0,3.0,
47.0,253.0,,,,,93.2,-42.0,,5195.8,,2.0,4.0,,1.0,,,,,
,217.0,,,,,,-42.0,,,,1.0,,,,,1.0,2.0,1.0,0.0
39.0,,,999.0,,,,-41.8,,,,1.0,,,0.0,,0.0,,2.0,
,121.0,1.0,999.0,,1.1,93994.0,,,5191.0,,,,,1.0,1.0,,1.0,,
,,8.0,999.0,0.0,1.4,,-42.7,4963.0,5228.1,,,2.0,1.0,0.0,0.0,,,,
,,,,0.0,,,-40.8,,,1.0,,,,0.0,,1.0,,2.0,
36.0,148.0,1.0,999.0,,,93369.0,-34.8,,,2.0,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0
,,,999.0,1.0,,93.2,-42.0,4.12,,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,
35.0,130.0,,999.0,0.0,1.4,93918.0,,4962.0,5228.1,2.0,1.0,,1.0,,0.0,1.0,0.0,3.0,0.0
,,,,,,,,1365.0,5099.1,,1.0,3.0,1.0,,,1.0,,1.0,0.0
,180.0,2.0,,,,93994.0,-36.4,,,,,3.0,,0.0,,,1.0,3.0,0.0
,134.0,1.0,999.0,,,,-46.2,,5099.1,0.0,0.0,,0.0,,,,1.0,,
36.0,,2.0,,0.0,-2.9,92963.0,-40.8,1252.0,,3.0,0.0,,1.0,0.0,,,4.0,,0.0
,,,999.0,0.0,,,,,,,2.0,,,1.0,,0.0,,,0.0
28.0,98.0,1.0,999.0,0.0,,,,,,4.0,,1.0,0.0,0.0,0.0,,5.0,4.0,
32.0,262.0,,,,-1.8,92893.0,,,5099.1,1.0,,,1.0,0.0,,,,,
,551.0,,,1.0,,92893.0,-46.2,,5099.1,,,,,0.0,,1.0,1.0,1.0,1.0
38.0,,3.0,999.0,0.0,,93994.0,-36.4,,5191.0,,0.0,3.0,,0.0,0.0,,,2.0,0.0
34.0,,2.0,999.0,0.0,,,-46.2,1313.0,5099.1,3.0,1.0,4.0,1.0,0.0,0.0,,1.0,4.0,
34.0,,11.0,999.0,,,92893.0,-46.2,,,,,4.0,1.0,0.0,,1.0,1.0,3.0,0.0
54.0,,1.0,999.0,0.0,-0.1,93.2,,4153.0,,,,1.0,1.0,,0.0,1.0,2.0,,
23.0,,1.0,,0.0,-1.8,92893.0,-46.2,1266.0,5099.1,3.0,,3.0,1.0,,,,,,
,,,999.0,1.0,,,-42.0,4021.0,,5.0,,,,,0.0,,,4.0,
82.0,,6.0,999.0,0.0,,,-34.6,0.638,,,,,1.0,,2.0,,,,
,838.0,3.0,999.0,0.0,1.4,93918.0,-42.7,4961.0,5228.1,,1.0,,1.0,0.0,,1.0,,,0.0
,,,999.0,0.0,1.4,,-42.7,4963.0,,,,1.0,,0.0,1.0,1.0,,,0.0
,210.0,,999.0,,-1.8,,,1405.0,5099.1,,,,1.0,1.0,0.0,1.0,5.0,0.0,
,,1.0,999.0,0.0,-0.1,93.2,-42.0,,5195.8,,,3.0,1.0,,1.0,1.0,,,
,,1.0,999.0,,-1.8,92893.0,,1334.0,5099.1,,2.0,,1.0,,0.0,,1.0,3.0,1.0
,500.0,1.0,999.0,0.0,,,-36.4,4855.0,,,,1.0,,,0.0,,,,0.0
43.0,,3.0,,0.0,1.4,94465.0,,4967.0,,,2.0,,,,0.0,0.0,4.0,,
,,4.0,,0.0,,93994.0,-36.4,,5191.0,6.0,0.0,,,,0.0,0.0,1.0,4.0,0.0
,296.0,,,1.0,-3.4,92649.0,-30.1,,5017.5,3.0,0.0,,1.0,,,,,3.0,
33.0,199.0,,999.0,0.0,1.4,93918.0,-42.7,4.96,5228.1,2.0,,1.0,,,0.0,1.0,,,
,,,6.0,,-0.1,,,4153.0,5195.8,1.0,,0.0,,,,1.0,,,
,,8.0,999.0,0.0,-3.4,92649.0,,,5017.5,1.0,1.0,,,0.0,0.0,,,0.0,
40.0,,2.0,999.0,0.0,1.4,93444.0,-36.1,,,3.0,0.0,4.0,,1.0,0.0,,,3.0,
,262.0,4.0,,0.0,1.1,,-36.4,,,,1.0,,1.0,2.0,2.0,,,,
,548.0,8.0,,0.0,1.4,94465.0,,,,5.0,1.0,3.0,1.0,,,,,,
89.0,,1.0,999.0,,-1.1,94199.0,,0.881,4963.6,7.0,,,,,,,6.0,,0.0
,96.0,1.0,,,-2.9,92201.0,,,5076.2,,,1.0,,0.0,,1.0,7.0,,
,,3.0,,0.0,-0.1,93.2,-42.0,,5195.8,1.0,1.0,3.0,1.0,1.0,0.0,,2.0,,0.0
,348.0,,,,,93.2,,4076.0,5195.8,,,0.0,1.0,,,,,,
,,1.0,999.0,0.0,,93444.0,,4964.0,5228.1,,,5.0,0.0,0.0,1.0,1.0,7.0,,0.0
,,,,0.0,1.1,93994.0,-36.4,4858.0,,8.0,1.0,1.0,,1.0,0.0,0.0,1.0,,0.0
,210.0,1.0,,1.0,,,-26.9,,5017.5,,0.0,,1.0,0.0,0.0,,,2.0,
24.0,201.0,,999.0,0.0,-1.8,,,1299.0,5099.1,5.0,,3.0,1.0,0.0,,1.0,1.0,,
,,1.0,999.0,,-0.1,,,4191.0,,8.0,,,,0.0,,1.0,,0.0,1.0
,,,999.0,,1.4,93444.0,,,5228.1,,1.0,,,0.0,,1.0,7.0,3.0,0.0
,,,,,,92893.0,-46.2,,5099.1,,0.0,1.0,,0.0,0.0,,1.0,,0.0
,74.0,,,0.0,,,-36.1,4963.0,5228.1,3.0,,4.0,1.0,,,1.0,7.0,,
,,2.0,999.0,,1.1,93994.0,-36.4,,,,,2.0,,,,,,,0.0
36.0,227.0,2.0,,0.0,,,-46.2,1327.0,,,,3.0,,1.0,0.0,,1.0,1.0,
,,,,0.0,,94465.0,,,,,1.0,,0.0,,0.0,0.0,,0.0,
,274.0,2.0,999.0,,,,,4961.0,,,1.0,,1.0,0.0,,,4.0,0.0,
,72.0,,999.0,,1.4,94465.0,-41.8,4967.0,,,1.0,0.0,,1.0,,,,,
,344.0,,999.0,0.0,,,-46.2,1291.0,,5.0,,0.0,1.0,,,1.0,1.0,2.0,
,167.0,,6.0,2.0,,,,,5008.7,6.0,,2.0,0.0,,,,,2.0,
32.0,,,,,,,,0.881,,,,4.0,,,0.0,,7.0,4.0,1.0
58.0,158.0,3.0,,,,93.2,,,5195.8,,1.0,4.0,,,,1.0,,4.0,
43.0,,1.0,,,1.4,93918.0,-42.7,,,6.0,1.0,2.0,1.0,0.0,,1.0,0.0,3.0,
31.0,,,,0.0,,,-42.0,,,,0.0,3.0,,1.0,,1.0,2.0,4.0,
30.0,26.0,10.0,,,-0.1,93.2,-42.0,,,,,,,,1.0,,2.0,4.0,
,1007.0,,999.0,,1.1,,-36.4,4855.0,5191.0,2.0,,,1.0,1.0,0.0,,1.0,,0.0
50.0,184.0,2.0,,,1.1,,-36.4,,,0.0,,5.0,0.0,,,,,1.0,0.0
52.0,,,999.0,,,,,4855.0,5191.0,3.0,,,1.0,,,0.0,,,
62.0,,3.0,,,-1.7,,,0.827,,3.0,1.0,5.0,,2.0,2.0,,,,
,,,999.0,0.0,,,,4959.0,5228.1,8.0,1.0,,,1.0,,0.0,4.0,4.0,
36.0,193.0,6.0,999.0,0.0,,,,4.86,5191.0,,,3.0,,0.0,0.0,0.0,1.0,1.0,
30.0,613.0,,999.0,0.0,-0.1,,-42.0,4153.0,5195.8,3.0,1.0,,1.0,,0.0,,,,
,,1.0,7.0,,,92649.0,,0.714,,2.0,1.0,1.0,1.0,,0.0,,2.0,0.0,
,,,999.0,1.0,,,,,,,1.0,,,,,1.0,,,1.0
53.0,,1.0,999.0,,,,-42.7,4962.0,5228.1,0.0,1.0,,0.0,,,0.0,,,
50.0,45.0,1.0,,,,93.2,-42.0,,,1.0,0.0,0.0,,2.0,2.0,0.0,2.0,1.0,0.0
,154.0,2.0,,,,92893.0,-46.2,,5099.1,5.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.0,
,349.0,1.0,,,,93994.0,-36.4,4856.0,5191.0,,,,1.0,1.0,,0.0,1.0,,
,41.0,,,,1.4,93918.0,,4.96,5228.1,,,0.0,1.0,,,0.0,0.0,,0.0
40.0,,,,,-0.1,93.2,-42.0,4.12,5195.8,3.0,1.0,4.0,,,0.0,,,,
30.0,,,,0.0,1.4,94465.0,,4961.0,,,1.0,,,1.0,0.0,,,2.0,
65.0,138.0,,999.0,,,,-49.5,,4963.6,,1.0,,1.0,0.0,0.0,0.0,,1.0,
,,,,,-0.1,93.2,-42.0,4153.0,5195.8,,0.0,,,0.0,,1.0,2.0,2.0,1.0
36.0,74.0,3.0,,1.0,,,-46.2,,,,0.0,,1.0,0.0,0.0,1.0,,0.0,
47.0,104.0,1.0,,1.0,-0.1,93.2,-42.0,,,1.0,,4.0,,1.0,0.0,,,,1.0
