col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
4.0,7.0,5.0,5.0,4.0,6.0,7.0,3.0,7.0,11.0,8.0,9.0,3.0,8.0,4.0,8.0
4.0,6.999999999999985,6.0,5.0,5.0,6.0,8.0,3.0,7.0,11.0,8.0,9.0,3.0,8.0,4.0,7.0
3.0000000000000075,5.0,4.0,3.0,2.8400000000000056,7.0,8.0,5.0,5.0,6.999999999999993,7.0,6.0,5.0,9.0,2.01,6.0
4.0,10.0,6.0,7.7899999999999965,6.0,5.0,7.0,5.0,7.0,6.0,6.0,12.0,3.0,8.0,6.0,9.0
4.0,10.0,6.0,8.0,4.0,8.0,11.0,2.0,3.0,4.0,10.0,9.0,3.6900000000000057,11.0,1.0,8.0
1.0,0.13999999999999999,1.0,1.0,0.9399999999999998,5.0,7.0,5.0,8.0,7.0,6.0,12.0,0.0,8.0,6.0,9.0
4.0,8.0,6.0,6.000000000000021,4.0,7.519999999999996,7.0,3.0,9.0,5.0,6.0,8.0,3.0,8.0,7.0,8.0
3.0,6.0,4.0,4.0,3.0,7.0,7.949999999999999,7.0,4.0,7.0,8.0,7.0,3.0,8.0,2.0,7.719999999999998
3.0,8.0,5.0,6.0,6.0,8.0,7.0,4.0,3.330000000000006,6.0,6.0,7.0,7.0,8.049999999999999,4.6700000000000035,6.0
4.0,10.0,5.0,8.0,4.0,5.160000000000005,12.0,3.6300000000000052,7.0,9.0,11.520000000000016,7.0,2.0,12.0,1.0,7.249999999999995
3.0,4.0,4.0,6.0,1.0,5.0,7.0,6.0,9.0,7.0,6.0,14.0,1.0,9.0,4.0,8.930000000000012
4.0,8.0,6.0,6.120000000000018,4.0,8.0,5.0,8.0,4.0,7.0,5.0,8.690000000000001,3.0,8.0,3.0,7.949999999999996
1.0,0.0,2.0,0.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,2.0,8.0,3.0,8.010000000000003
10.0,10.0,10.0,7.959999999999996,7.0,2.0,11.0,2.0,3.0,10.0,10.0,8.0,7.799999999999997,11.0,2.0,7.0
1.0,0.0,1.0,0.0,0.02,5.0,7.0,5.0,7.0,7.0,6.0,12.0,0.0,8.0,6.0,9.93999999999999
2.0,4.0,3.95,3.0,2.0,7.0,9.0,4.0,3.0,11.0,4.0,4.0,1.0,10.0,3.0,8.0
10.0,15.0,10.0,8.150000000000002,8.0,8.180000000000001,7.0,4.060000000000001,5.0,9.0,5.0,7.0,7.0,5.0,9.0,8.0
1.0,0.0,1.0699999999999998,0.0,0.0,6.150000000000014,8.0,6.0,3.0,7.0,5.0,7.0,2.0,7.0,4.0,11.0
3.0,2.0,4.0,3.0,2.0,8.0,9.0,5.0,7.0,5.0,9.0,8.0,3.0,9.0,1.0,8.0
3.0,5.0,4.0,3.0,2.0,8.0,8.0,2.0,7.0,10.0,5.0,6.0,1.0,9.0,5.0,8.0
7.0,11.0,8.0,7.9,5.0,6.0,9.0,3.0,5.0,10.0,6.0,8.0,5.940000000000003,7.0,2.600000000000003,7.0
4.0,3.0,5.0,4.0100000000000025,2.0,8.0,9.0,7.0,6.0,6.0,8.0,9.0,3.0,8.0,5.0,9.0
5.0,9.0,6.0,7.0,2.0,9.0,11.0,2.0,2.0,6.0,12.0,8.0,1.0,10.929999999999994,0.0,8.0
2.0,2.0,4.0,3.0,1.0,6.010000000000014,2.0,2.0,2.0,5.0,2.0,7.9099999999999975,2.0,6.0,2.0,6.0
6.0,9.0,6.0,4.0,3.0,8.80000000000001,7.0,2.0,8.0,9.0,4.0,7.0,4.0,10.0,4.0,9.0
10.0,15.0,8.0,8.0,4.0,9.0,3.0,4.0,5.0,10.0,2.0,9.0,4.0,5.0,6.0,9.770000000000003
4.0,7.0,6.0,5.52,5.0,10.0,6.0,1.0,7.0,11.0,4.0,8.0,3.0,8.0,5.0,11.370000000000001
5.0,7.0,7.0,5.0,4.0,6.0,8.0,2.0,8.360000000000005,11.0,6.0,9.0,2.0,8.0,4.0,8.0
3.0,7.0,4.759999999999996,4.0,1.0,7.0,10.379999999999992,2.0,2.0,6.0,13.0,8.0,1.0,11.0,0.08,7.990000000000003
4.0,7.0,5.0,5.0,3.0,7.0,6.300000000000009,7.0,7.0,11.0,6.0,11.0,2.0,10.0,4.0,8.980000000000011
3.0,3.0,5.0,2.0,2.0,6.0,8.0,3.0,8.0,11.0,8.0,9.0,2.0,9.0,4.0,7.0
1.0,2.0,2.0,3.0,1.0,10.0,6.0,2.0,6.0,12.0,3.8218333333333345,8.0,1.0,6.0,1.0,7.0
3.290000000000005,10.0,4.0,8.0,4.0,7.0,7.0,6.0,10.0,6.0,6.0,8.0,1.0,8.0,8.0,8.0
4.0,9.0,6.0,7.0,6.0,9.0,7.0,2.0,6.0,7.0,5.0,6.0,3.0,8.0,6.0,8.0
4.0,8.0,4.0,6.0,3.0,7.0,7.0,6.0,7.0,11.0,6.0,10.0,2.0,10.0,4.0,9.0
4.0,5.0,6.0,4.0,4.0,8.0,6.0,2.0,4.0,8.970000000000015,6.0,8.0,7.0,5.0,2.0,8.0
5.0,8.0,7.0,6.0,6.0,9.0,9.0,5.0,4.54,7.0,5.0,7.0,3.0,8.0,8.09,5.0
5.0,10.0,6.0,7.669999999999996,2.0,7.0,4.0,14.0,5.9800000000000155,7.0,14.19999999999999,8.0,3.0,9.0,0.0,8.0
