col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
4.0,7.0,5.0,5.0,4.0,6.0,7.0,3.0,7.0,11.0,8.0,9.0,3.0,8.0,4.0,8.0
4.0,7.363636363636363,6.0,5.0,5.0,6.0,8.0,3.0,7.0,11.0,8.0,9.0,3.0,8.0,4.0,7.0
2.909090909090909,5.0,4.0,3.0,2.5454545454545454,7.0,8.0,5.0,5.0,7.09090909090909,7.0,6.0,5.0,9.0,2.0,6.0
4.0,10.0,6.0,6.7272727272727275,6.0,5.0,7.0,5.0,7.0,6.0,6.0,12.0,3.0,8.0,6.0,9.0
4.0,10.0,6.0,8.0,4.0,8.0,11.0,2.0,3.0,4.0,10.0,9.0,2.3636363636363638,11.0,1.0,8.0
1.0,0.2727272727272727,1.0,1.0,0.8181818181818181,5.0,7.0,5.0,8.0,7.0,6.0,12.0,0.0,8.0,6.0,9.0
4.0,8.0,6.0,6.2727272727272725,4.0,7.363636363636363,7.0,3.0,9.0,5.0,6.0,8.0,3.0,8.0,7.0,8.0
3.0,6.0,4.0,4.0,3.0,7.0,7.363636363636363,7.0,4.0,7.0,8.0,7.0,3.0,8.0,2.0,7.454545454545454
3.0,8.0,5.0,6.0,6.0,8.0,7.0,4.0,3.4545454545454546,6.0,6.0,7.0,7.0,8.363636363636363,6.2727272727272725,6.0
4.0,10.0,5.0,8.0,4.0,6.181818181818182,12.0,2.1818181818181817,7.0,9.0,11.272727272727273,7.0,2.0,12.0,1.0,7.363636363636363
3.0,4.0,4.0,6.0,1.0,5.0,7.0,6.0,9.0,7.0,6.0,14.0,1.0,9.0,4.0,8.909090909090908
4.0,8.0,6.0,5.7272727272727275,4.0,8.0,5.0,8.0,4.0,7.0,5.0,7.727272727272726,3.0,8.0,3.0,8.0
1.0,0.0,2.0,0.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,2.0,8.0,3.0,7.909090909090908
10.0,10.0,10.0,7.454545454545454,7.0,2.0,11.0,2.0,3.0,10.0,10.0,8.0,7.363636363636363,11.0,2.0,7.0
1.0,0.0,1.0,0.0,0.2727272727272727,5.0,7.0,5.0,7.0,7.0,6.0,12.0,0.0,8.0,6.0,9.454545454545453
2.0,4.0,3.9090909090909087,3.0,2.0,7.0,9.0,4.0,3.0,11.0,4.0,4.0,1.0,10.0,3.0,8.0
10.0,15.0,10.0,7.8181818181818175,8.0,8.09090909090909,7.0,3.727272727272727,5.0,9.0,5.0,7.0,7.0,5.0,9.0,8.0
1.0,0.0,1.4545454545454546,0.0,0.0,5.999999999999999,8.0,6.0,3.0,7.0,5.0,7.0,2.0,7.0,4.0,11.0
3.0,2.0,4.0,3.0,2.0,8.0,9.0,5.0,7.0,5.0,9.0,8.0,3.0,9.0,1.0,8.0
3.0,5.0,4.0,3.0,2.0,8.0,8.0,2.0,7.0,10.0,5.0,6.0,1.0,9.0,5.0,8.0
7.0,11.0,8.0,7.09090909090909,5.0,6.0,9.0,3.0,5.0,10.0,6.0,8.0,4.909090909090909,7.0,2.9999999999999996,7.0
4.0,3.0,5.0,6.09090909090909,2.0,8.0,9.0,7.0,6.0,6.0,8.0,9.0,3.0,8.0,5.0,9.0
5.0,9.0,6.0,7.0,2.0,9.0,11.0,2.0,2.0,6.0,12.0,8.0,1.0,10.727272727272727,0.0,8.0
2.0,2.0,4.0,3.0,1.0,6.7272727272727275,2.0,2.0,2.0,5.0,2.0,8.0,2.0,6.0,2.0,6.0
6.0,9.0,6.0,4.0,3.0,9.0,7.0,2.0,8.0,9.0,4.0,7.0,4.0,10.0,4.0,9.0
10.0,15.0,8.0,8.0,4.0,9.0,3.0,4.0,5.0,10.0,2.0,9.0,4.0,5.0,6.0,9.909090909090908
4.0,7.0,6.0,5.363636363636363,5.0,10.0,6.0,1.0,7.0,11.0,4.0,8.0,3.0,8.0,5.0,10.909090909090908
5.0,7.0,7.0,5.0,4.0,6.0,8.0,2.0,7.727272727272726,11.0,6.0,9.0,2.0,8.0,4.0,8.0
3.0,7.0,4.454545454545454,4.0,1.0,7.0,10.363636363636363,2.0,2.0,6.0,13.0,8.0,1.0,11.0,0.0,8.0
4.0,7.0,5.0,5.0,3.0,7.0,6.363636363636363,7.0,7.0,11.0,6.0,11.0,2.0,10.0,4.0,9.181818181818182
3.0,3.0,5.0,2.0,2.0,6.0,8.0,3.0,8.0,11.0,8.0,9.0,2.0,9.0,4.0,7.0
1.0,2.0,2.0,3.0,1.0,10.0,6.0,2.0,6.0,12.0,3.727272727272727,8.0,1.0,6.0,0.909090909090909,7.0
3.4545454545454546,10.0,4.0,8.0,4.0,7.0,7.0,6.0,10.0,6.0,6.0,8.0,1.0,8.0,8.0,8.0
4.0,9.0,6.0,7.0,6.0,9.0,7.0,2.0,6.0,7.0,5.0,6.0,3.0,8.0,6.0,8.0
4.0,8.0,4.0,6.0,3.0,7.0,7.0,6.0,7.0,11.0,6.0,10.0,2.0,10.0,4.0,9.0
4.0,5.0,6.0,4.0,4.0,8.0,6.0,2.0,4.0,8.818181818181818,6.0,8.0,7.0,5.0,2.0,8.0
5.0,8.0,7.0,6.0,6.0,9.0,9.0,5.0,4.363636363636363,7.0,5.0,7.0,3.0,8.0,7.272727272727272,5.0
5.0,10.0,6.0,6.7272727272727275,2.0,7.0,4.0,14.0,4.818181818181818,7.0,13.363636363636363,8.0,3.0,9.0,0.0,8.0
3.0,7.0,3.2727272727272725,5.0,1.0,0.0,1.0,6.0,6.0,0.0,0.4545454545454545,5.636363636363637,0.0,8.0,0.0,8.0
1.0,2.272727272727273,1.0,2.0,0.0,7.0,7.0,1.0,6.909090909090909,7.0,6.0,8.0,0.0,8.0,3.0,8.0
3.0,4.0,5.0,3.0,2.0,5.2727272727272725,7.0,2.0,7.0,10.0,9.0,9.636363636363637,3.0,8.0,3.0,7.0
1.0,4.0,2.0,3.0,1.0,7.0,7.0,0.0,7.0,13.0,6.0,8.0,0.0,8.0,1.0,8.0
6.0,11.0,8.0,7.454545454545454,5.0,6.0,9.0,3.0,11.0,11.0,9.0,6.0,2.0,8.0,6.0,5.0
5.0,9.0,5.909090909090909,7.0,4.0,3.0,11.0,2.0,3.0,9.0,11.0,8.0,3.0,12.0,1.0,7.0
3.0,8.0,5.0,6.0,4.0,5.0,6.0,4.0,7.0,7.0,7.0,11.0,3.0,8.0,5.0,9.0
4.0,5.0,6.0,7.0,8.0,7.0,8.0,3.0,2.0,8.0,7.272727272727272,9.0,4.0,11.0,8.0,5.0
7.0,11.0,8.0,9.0,4.0,3.0,9.0,6.0,7.0,11.0,11.0,10.0,3.0,9.0,2.0,6.09090909090909
5.0,9.0,8.0,7.0,9.818181818181818,8.0,6.0,4.0,4.0,6.0,7.0,8.0,10.0,9.0,5.0,6.363636363636363
5.0,11.0,5.0,8.0,4.0,6.0,6.0,10.0,7.0,6.0,7.0,7.0,2.0,8.0,9.0,10.0
6.0,8.636363636363635,9.0,6.0,7.0,9.0,6.0,2.0,5.0,9.0,5.363636363636363,7.0,8.0,6.0,2.0,8.0
4.0,8.0,6.0,6.0,6.0,7.0,8.0,2.0,7.0,7.0,6.0,7.0,1.0,9.0,9.0,7.636363636363636
8.0,10.0,10.909090909090908,8.0,9.0,5.0,8.0,3.0,5.0,10.0,10.0,10.0,13.0,8.0,4.090909090909091,8.0
2.0,3.0,3.0,2.0,2.0,8.0,7.0,3.0,5.0,10.0,5.0,7.0,2.0,8.0,4.0,10.0
2.0,6.0,2.0,4.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0
3.4545454545454546,4.0,4.0,6.0,2.0,7.0,7.0,9.0,6.0,7.0,6.0,8.0,3.0,8.09090909090909,4.0,8.0
4.0,8.0,4.0,6.0,2.0,1.4545454545454546,10.909090909090908,5.0,7.0,12.0,11.0,9.0,0.0,8.09090909090909,2.0,6.0
4.0,7.0,6.0,5.0,4.0,8.0,6.0,5.0,5.0,8.0,5.999999999999999,7.0,3.0,7.0,4.0,6.0
4.0,6.0,4.0,4.0,2.0,3.0,12.0,4.0,3.0,11.0,11.0,7.0,2.0,10.0,1.0,7.0
5.0,11.0,7.0,8.0,6.0,7.09090909090909,11.0,2.0,5.090909090909091,7.0,11.0,8.0,2.0,12.0,1.0,8.0
2.0,5.0,4.0,4.0,1.5454545454545454,9.0,6.0,2.0,7.0,14.0,5.0,10.0,1.0,6.0,1.0,7.0
8.0,10.0,11.0,8.0,9.0,9.0,6.0,2.0,5.0,9.0,4.0,7.0,11.0,9.0,3.0,8.0
