Dataset,Missing%,Additional CTGAN data%,Average mRMSE,St Dev mRMSE,Average RMSE num,St Dev RMSE num,Average RMSE cat,St Dev RMSE cat,Average PFC (%),St Dev PFC (%),Average execution time (s),St Dev execution time (s)
mushroom,0.1,[''],0.2741,0.001,,,0.2741,0.001,7.5151,0.0554,167.4694,27.6295
letter,0.1,[''],0.0669,0.0002,0.0669,0.0002,,,,,105.8464,16.1377
bank,0.1,[''],0.359,0.002,0.0787,0.0008,0.3503,0.002,12.2727,0.1414,325.7711,56.2091
credit,0.1,[''],0.2612,0.0026,0.0481,0.0001,0.2567,0.0027,6.5898,0.1365,735.83,79.4117
news,0.1,[''],0.378,0.0008,0.0674,0.0014,0.372,0.0009,13.8351,0.0637,4563.4597,521.5579
mushroom,0.3,[''],0.2932,0.0017,,,0.2932,0.0017,8.5983,0.1016,226.0323,15.9593
letter,0.3,[''],0.0869,0.0003,0.0869,0.0003,,,,,181.5598,4.365
bank,0.3,[''],0.3721,0.0031,0.0912,0.0008,0.3608,0.0032,13.0165,0.2324,370.2287,32.908
credit,0.3,[''],0.2721,0.0011,0.0517,0.0001,0.2671,0.0012,7.1364,0.0623,726.0621,89.0829
news,0.3,[''],0.3966,0.0011,0.0952,0.0007,0.385,0.0012,14.8195,0.0896,3966.0575,429.3943
mushroom,0.5,[''],0.3049,0.0019,,,0.3049,0.0019,9.2954,0.1136,253.1972,35.7282
letter,0.5,[''],0.1132,0.0006,0.1132,0.0006,,,,,181.7431,5.1825
bank,0.5,[''],0.4043,0.0011,0.1263,0.0009,0.384,0.0011,14.7467,0.085,367.9164,37.568
credit,0.5,[''],0.2861,0.001,0.0573,0.0002,0.2803,0.001,7.8581,0.0542,751.1649,98.5402
news,0.5,[''],0.4072,0.0007,0.1252,0.001,0.3874,0.001,15.0109,0.0798,2781.4976,334.6382
