Dataset,Missing%,Additional CTGAN data%,Average mRMSE,St Dev mRMSE,Average RMSE num,St Dev RMSE num,Average RMSE cat,St Dev RMSE cat,Average PFC (%),St Dev PFC (%),Average execution time (s),St Dev execution time (s)
mushroom,0.1,"['50', '100']",0.2752,0.0011,,,0.2752,0.0011,7.5721,0.0584,190.4786,31.1049
letter,0.1,"['50', '100']",0.0669,0.0002,0.0669,0.0002,,,,,170.4551,23.2434
bank,0.1,"['50', '100']",0.3623,0.0014,0.0787,0.0006,0.3536,0.0015,12.5053,0.1047,667.0185,111.7572
credit,0.1,"['50', '100']",0.2599,0.0014,0.0477,0.0001,0.2555,0.0014,6.5265,0.0729,1244.0736,263.9202
news,0.1,"['50', '100']",0.3775,0.0015,0.0668,0.0007,0.3716,0.0015,13.806,0.1133,17908.8383,10354.9843
mushroom,0.1,"['50', '100']",0.2755,0.0012,,,0.2755,0.0012,7.5881,0.0643,195.3887,33.3255
letter,0.1,"['50', '100']",0.067,0.0002,0.067,0.0002,,,,,239.2756,46.7399
bank,0.1,"['50', '100']",0.3627,0.0015,0.0786,0.0006,0.3541,0.0016,12.5362,0.1129,977.0187,220.5877
credit,0.1,"['50', '100']",0.2587,0.0015,0.0477,0.0001,0.2543,0.0015,6.4657,0.0771,3369.6949,730.8849
news,0.1,"['50', '100']",0.3778,0.0014,0.0671,0.0012,0.3718,0.0014,13.8253,0.1013,19145.3693,3013.6539
mushroom,0.3,"['50', '100']",0.2907,0.0021,,,0.2907,0.0021,8.454,0.1241,167.502,31.0112
letter,0.3,"['50', '100']",0.0874,0.0003,0.0874,0.0003,,,,,222.8474,18.5715
bank,0.3,"['50', '100']",0.3714,0.0022,0.0912,0.0009,0.36,0.0023,12.9625,0.1669,519.8957,60.6675
credit,0.3,"['50', '100']",0.2828,0.0018,0.0518,0.0001,0.278,0.0018,7.7285,0.1009,1093.8533,21.56
mushroom,0.3,"['50', '100']",0.2906,0.0012,,,0.2906,0.0012,8.4429,0.0691,197.2753,23.9127
letter,0.3,"['50', '100']",0.0874,0.0003,0.0874,0.0003,,,,,309.1806,4.086
bank,0.3,"['50', '100']",0.3735,0.0028,0.0909,0.0009,0.3623,0.0029,13.1256,0.2096,666.6593,144.6294
credit,0.3,"['50', '100']",0.2829,0.0016,0.0517,0.0001,0.2782,0.0016,7.7378,0.0883,1483.2502,130.3326
