Dataset,Missing%,Additional CTGAN data%,Average mRMSE,St Dev mRMSE,Average RMSE num,St Dev RMSE num,Average RMSE cat,St Dev RMSE cat,Average PFC (%),St Dev PFC (%),Average execution time (s),St Dev execution time (s)
mushroom,0.1,[''],0.2738,0.0012,,,0.2738,0.0012,7.4981,0.0672,234.6251,15.2347
letter,0.1,[''],0.0668,0.0002,0.0668,0.0002,,,,,150.4569,4.3683
bank,0.1,[''],0.3601,0.0012,0.079,0.0006,0.3514,0.0013,12.3461,0.0939,373.9059,4.8079
credit,0.1,[''],0.2623,0.0015,0.0481,0.0001,0.2578,0.0015,6.6485,0.0776,876.7438,30.755
news,0.1,[''],0.3807,0.0024,0.0667,0.0018,0.3748,0.0024,14.0472,0.1798,3872.3405,74.3238
mushroom,0.3,[''],0.2946,0.0013,,,0.2946,0.0013,8.6782,0.0763,252.2435,13.2805
letter,0.3,[''],0.0863,0.0003,0.0863,0.0003,,,,,147.4041,0.4703
bank,0.3,[''],0.3753,0.0024,0.0909,0.0008,0.3642,0.0024,13.2626,0.1729,343.9106,6.857
credit,0.3,[''],0.2731,0.001,0.0517,0.0001,0.2682,0.001,7.1915,0.0544,702.3638,2.3376
news,0.3,[''],0.3978,0.0012,0.0936,0.0003,0.3866,0.0012,14.9487,0.096,3112.4383,10.6785
mushroom,0.5,[''],0.3084,0.0007,,,0.3084,0.0007,9.5111,0.0453,219.9948,8.3034
letter,0.5,[''],0.1117,0.0003,0.1117,0.0003,,,,,123.9651,0.6869
bank,0.5,[''],0.4074,0.0012,0.1255,0.0019,0.3876,0.0013,15.0221,0.0969,302.9924,3.6157
credit,0.5,[''],0.2895,0.0008,0.0567,0.0003,0.2839,0.0008,8.0616,0.0442,538.7632,7.7488
news,0.5,[''],0.4082,0.0018,0.1228,0.0004,0.3892,0.0019,15.1518,0.1469,2346.9782,11.1695
